GENE,PDB ID,PARTNER GENES,METHOD,RESOLUTION,RELEASE DATE,SOURCE ORGANISM,KINGDOM,PROK_EUK,OLIGOMERIC STATE,MOLECULAR WEIGHT,STRUCTURE AUTHOR,PUBLICATION YEAR
NPC1,5F1B,,X-RAY DIFFRACTION,2.3,2016-01-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,61.94,"Gao, G.F.",2016
NPC1,5HNS,,X-RAY DIFFRACTION,2.45,2016-02-10T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.73,"Stuart, D.I.",2016
NPC1,5JNX,,ELECTRON MICROSCOPY,6.56,2016-06-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,244.8,"Yan, N.",2016
NPC1,5KWY,,X-RAY DIFFRACTION,2.405,2016-08-24T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,87.61,"Li, X.",2016
NPC1,5U73,,X-RAY DIFFRACTION,3.348,2017-09-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,145.62,"Blobel, G.",2017
NPC1,5U74,,X-RAY DIFFRACTION,3.335,2017-10-11T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,145.82,"Li, X.",2017
NPC1,6UOX,,ELECTRON MICROSCOPY,4.02,2020-01-15T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,146.88,"Li, X.",2020
NPC1,6W5R,,ELECTRON MICROSCOPY,3.6,2020-06-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,150.48,"Wu, X.L.",2020
NPC1,6W5S,,ELECTRON MICROSCOPY,3.0,2020-06-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,151.24,"Wu, X.L.",2020
NPC1,6W5T,,ELECTRON MICROSCOPY,3.7,2020-06-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,150.87,"Wu, X.L.",2020
NPC1,6W5U,,ELECTRON MICROSCOPY,3.9,2020-06-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,150.87,"Wu, X.L.",2020
NPC1,6W5V,,ELECTRON MICROSCOPY,4.0,2020-06-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,169.67,"Wu, X.L.",2020
NPC1,8EUS,,X-RAY DIFFRACTION,2.3,2023-02-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,60.33,"Pornillos, O.",2023
NPC1,9DZ2,,ELECTRON MICROSCOPY,3.31,2025-02-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,octameric,184.59,"Li, F.",2025
NPC1L1,3QNT,,X-RAY DIFFRACTION,2.83,2011-05-11T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,28.52,"Kwon, H.J.",2011
NPC1L1,6V3F,,ELECTRON MICROSCOPY,3.7,2020-07-01T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,151.94,"Wang, Z.",2020
NPC1L1,6V3H,,ELECTRON MICROSCOPY,3.5,2020-07-01T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,monomeric,153.19,"Wang, Z.",2020
NPC1L1,7DF8,,ELECTRON MICROSCOPY,3.03,2021-08-04T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,144.97,"Sui, S.",2021
NPC1L1,7DFW,,ELECTRON MICROSCOPY,2.69,2021-08-11T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,148.06,"Sun, S.",2021
NPC1L1,7DFZ,,ELECTRON MICROSCOPY,3.58,2021-08-11T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,145.61,"Sun, S.",2021
NPC1L1,7N4U,,ELECTRON MICROSCOPY,3.34,2021-09-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,300.05,"Long, T.",2021
NPC1L1,7N4V,,ELECTRON MICROSCOPY,3.58,2021-09-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,299.96,"Long, T.",2021
NPC1L1,7N4X,,ELECTRON MICROSCOPY,3.33,2021-09-01T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,149.19,"Long, T.",2021
RHAG,6XSJ,,X-RAY DIFFRACTION,1.4,2020-10-14T00:00:00.000+00:00,Aspergillus oryzae,Eukaryota,Eukaryotic,monomeric,111.22,"McPherson, A.",2021
RHAG,6XSV,,X-RAY DIFFRACTION,1.65,2020-10-14T00:00:00.000+00:00,Aspergillus oryzae,Eukaryota,Eukaryotic,monomeric,56.36,"McPherson, A.",2021
SLC10A1,7FCI,,ELECTRON MICROSCOPY,3.3,2022-05-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,89.33,"Park, S.Y.",2022
SLC10A1,7PQG,,ELECTRON MICROSCOPY,3.7,2022-05-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,51.64,"Reyes, N.",2022
SLC10A1,7PQQ,,ELECTRON MICROSCOPY,3.3,2022-05-18T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,138.24,"Reyes, N.",2022
SLC10A1,7VAE,,ELECTRON MICROSCOPY,3.55,2022-05-25T00:00:00.000+00:00,Bos taurus,Eukaryota,Eukaryotic,trimeric,89.0,"Ohto, U.",2022
SLC10A1,7ZYI,,ELECTRON MICROSCOPY,2.88,2022-07-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,101.99,"Locher, K.P.",2022
SLC10A1,8RQF,,ELECTRON MICROSCOPY,3.41,2024-03-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,pentameric,105.37,"Locher, K.P.",2024
SLC10A1,8XCD,,ELECTRON MICROSCOPY,3.49,2024-11-13T00:00:00.000+00:00,Macaca fascicularis,Eukaryota,Eukaryotic,trimeric,90.14,"Park, S.Y.",2024
SLC10A1,9QZQ,,ELECTRON MICROSCOPY,3.11,2025-11-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,102.37,"Locher, K.P.",2026
SLC11A1,9F6P,,ELECTRON MICROSCOPY,3.7,2024-12-04T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,67.16,"Dutzler, R.",2025
SLC11A1,9F6Q,,ELECTRON MICROSCOPY,3.9,2024-11-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,67.1,"Dutzler, R.",2025
SLC11A2,5F0L,,X-RAY DIFFRACTION,3.2,2016-12-07T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,114.94,"Hierro, A.",2016
SLC11A2,5F0M,,X-RAY DIFFRACTION,3.1,2016-12-07T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,114.4,"Hierro, A.",2016
SLC11A2,5F0P,,X-RAY DIFFRACTION,2.78,2016-12-07T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,114.93,"Hierro, A.",2016
SLC11A2,9F6N,,ELECTRON MICROSCOPY,3.6,2024-11-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,71.99,"Dutzler, R.",2025
SLC11A2,9F6O,,ELECTRON MICROSCOPY,3.9,2024-11-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,88.35,"Dutzler, R.",2025
SLC12A2,6NPH,,ELECTRON MICROSCOPY,2.9,2019-07-31T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,106.78,"Zhang, J.R.",2019
SLC12A2,6NPJ,,ELECTRON MICROSCOPY,3.8,2019-07-31T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,98.89,"Zhang, J.R.",2019
SLC12A2,6NPK,,ELECTRON MICROSCOPY,3.6,2019-07-31T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,101.24,"Zhang, J.R.",2019
SLC12A2,6NPL,,ELECTRON MICROSCOPY,2.9,2019-07-31T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,206.83,"Zhang, J.R.",2019
SLC12A2,6PZT,,ELECTRON MICROSCOPY,3.46,2020-03-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,263.34,"Yang, X.",2020
SLC12A2,7D10,,ELECTRON MICROSCOPY,3.52,2021-04-14T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,264.19,"Yang, M.",2021
SLC12A2,7S1X,,ELECTRON MICROSCOPY,2.9,2022-05-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,264.66,"Cao, E.H.",2022
SLC12A2,7S1Y,,ELECTRON MICROSCOPY,3.6,2022-05-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,264.56,"Cao, E.h.",2022
SLC12A2,7S1Z,,ELECTRON MICROSCOPY,3.3,2022-05-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,263.78,"Cao, E.H.",2022
SLC12A2,7SFL,,ELECTRON MICROSCOPY,3.87,2022-09-28T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,201.53,"Moseng, M.A.",2022
SLC12A2,7SMP,,ELECTRON MICROSCOPY,3.28,2022-09-28T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,207.8,"Moseng, M.A.",2022
SLC12A2,7ZGO,,ELECTRON MICROSCOPY,2.55,2022-10-05T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,272.15,"Lyons, J.",2022
SLC12A2,8FHN,,ELECTRON MICROSCOPY,3.0,2023-02-15T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,trimeric,363.01,"Feng, L.",2023
SLC12A2,8FHO,,ELECTRON MICROSCOPY,2.95,2023-02-15T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,trimeric,363.06,"Feng, L.",2023
SLC12A2,8FHP,,ELECTRON MICROSCOPY,3.04,2023-02-15T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,241.67,"Feng, L.",2023
SLC12A2,8FHQ,,ELECTRON MICROSCOPY,2.81,2023-02-15T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,241.67,"Feng, L.",2023
SLC12A2,8FHR,,ELECTRON MICROSCOPY,2.9,2023-02-15T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,dimeric,241.67,"Feng, L.",2023
SLC12A2,8STE,,ELECTRON MICROSCOPY,3.34,2023-05-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,91.04,"Moseng, M.A.",2022
SLC12A2,9C0E,,ELECTRON MICROSCOPY,2.7,2025-02-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,265.65,"Cao, E.H.",2025
SLC12A2,9C0G,,ELECTRON MICROSCOPY,2.6,2025-02-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,264.14,"Cao, E.H.",2025
SLC12A2,9C0H,,ELECTRON MICROSCOPY,2.5,2025-02-12T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,264.41,"Cao, E.H.",2025
SLC12A2,9PIE,,ELECTRON MICROSCOPY,3.01,2026-06-03T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,tetrameric,242.96,"Feng, L.",2025
SLC12A2,9PIF,,ELECTRON MICROSCOPY,3.24,2026-06-03T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,trimeric,221.2,"Feng, L.",2025
SLC12A2,9PIG,,ELECTRON MICROSCOPY,2.79,2026-06-03T00:00:00.000+00:00,Danio rerio,Eukaryota,Eukaryotic,tetrameric,243.02,"Feng, L.",2025
SLC12A4,6KKR,,ELECTRON MICROSCOPY,2.9,2019-10-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,248.43,"Guo, J.",2019
SLC12A4,6KKT,,ELECTRON MICROSCOPY,2.9,2019-10-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,248.43,"Guo, J.",2019
SLC12A4,6KKU,,ELECTRON MICROSCOPY,3.5,2019-10-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,248.28,"Guo, J.",2019
SLC12A4,7AIP,,ELECTRON MICROSCOPY,3.12,2021-06-02T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,242.63,Structural Genomics Consortium (SGC),2021
SLC12A4,7AIQ,,ELECTRON MICROSCOPY,3.72,2021-06-02T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,241.85,Structural Genomics Consortium (SGC),2021
SLC12A4,7AIR,,ELECTRON MICROSCOPY,3.66,2021-06-02T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,242.13,Structural Genomics Consortium (SGC),2021
SLC12A4,7TTH,,ELECTRON MICROSCOPY,3.25,2022-06-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,243.32,"Cao, E.H.",2022
SLC12A4,7TTI,,ELECTRON MICROSCOPY,3.5,2022-06-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,244.0,"Cao, E.H.",2022
SLC12A5,7D14,,ELECTRON MICROSCOPY,3.8,2021-04-14T00:00:00.000+00:00,Mus musculus,Eukaryota,Eukaryotic,dimeric,252.8,"Yang, M.",2021
SLC12A5,7D8Z,,ELECTRON MICROSCOPY,3.4,2020-12-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,258.71,"Guo, J.",2020
SLC12A7,6UKN,,ELECTRON MICROSCOPY,3.65,2020-06-10T00:00:00.000+00:00,Mus musculus,Eukaryota,Eukaryotic,monomeric,121.86,"Brohawn, S.G.",2020
SLC12A7,7D99,,ELECTRON MICROSCOPY,2.9,2020-12-30T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,248.06,"Guo, J.",2020
SLC13A1,8W6H,,ELECTRON MICROSCOPY,3.1,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,136.38,"Yan, R.",2024
SLC13A1,8W6N,,ELECTRON MICROSCOPY,3.2,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,135.59,"Yan, R.",2024
SLC13A1,8W6O,,ELECTRON MICROSCOPY,2.9,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,136.24,"Yan, R.",2024
SLC13A1,8W6T,,ELECTRON MICROSCOPY,3.0,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,135.37,"Yan, R.",2024
SLC13A1,8Y5U,,ELECTRON MICROSCOPY,3.04,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,132.63,"Zhang, S.S.",2024
SLC13A1,8Y5W,,ELECTRON MICROSCOPY,2.73,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,132.65,"Zhang, S.S.",2024
SLC13A1,8Y5X,,ELECTRON MICROSCOPY,3.25,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,132.61,"Zhang, S.S.",2024
SLC13A1,8Y5Y,,ELECTRON MICROSCOPY,3.3,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,132.56,"Zhang, S.S.",2024
SLC13A1,8Y5Z,,ELECTRON MICROSCOPY,3.35,2025-01-22T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,132.61,"Zhang, S.S.",2024
SLC13A2,8W6C,,ELECTRON MICROSCOPY,2.7,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,134.73,"Yan, R.",2024
SLC13A2,8W6D,,ELECTRON MICROSCOPY,2.5,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,134.3,"Yan, R.",2024
SLC13A2,8W6G,,ELECTRON MICROSCOPY,3.3,2024-04-17T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,134.93,"Yan, R.",2024
SLC13A5,7JSJ,,ELECTRON MICROSCOPY,3.12,2021-02-24T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,127.34,"Wang, D.N.",2021
SLC13A5,7JSK,,ELECTRON MICROSCOPY,3.04,2021-02-24T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,127.14,"Wang, D.N.",2021
SLC13A5,8UVB,,ELECTRON MICROSCOPY,2.13,2024-12-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,126.88,"Wang, B.",2025
SLC13A5,8UVH,,ELECTRON MICROSCOPY,2.33,2024-12-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,126.22,"Wang, B.",2025
SLC14A1,4EZC,,X-RAY DIFFRACTION,2.36,2012-06-27T00:00:00.000+00:00,Bos taurus,Eukaryota,Eukaryotic,trimeric,130.13,New York Consortium on Membrane Protein Structure (NYCOMPS),2012
SLC14A1,4EZD,,X-RAY DIFFRACTION,2.5,2012-06-27T00:00:00.000+00:00,Bos taurus,Eukaryota,Eukaryotic,trimeric,130.87,New York Consortium on Membrane Protein Structure (NYCOMPS),2012
SLC14A1,8BLP,,ELECTRON MICROSCOPY,2.6,2023-10-04T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,155.17,"Duerr, K.L.",2023
SLC14A1,9J22,,ELECTRON MICROSCOPY,2.75,2025-09-03T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,131.68,"Liu, Z.",2025
SLC15A1,7PMW,,ELECTRON MICROSCOPY,4.1,2021-10-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,79.11,"Loew, C.",2021
SLC15A1,7PMX,,ELECTRON MICROSCOPY,3.5,2021-10-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,79.11,"Loew, C.",2021
SLC15A1,7PN1,,ELECTRON MICROSCOPY,3.9,2021-10-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,78.87,"Loew, C.",2021
SLC15A1,7S8U,,ELECTRON MICROSCOPY,3.7,2022-07-20T00:00:00.000+00:00,Equus caballus,Eukaryota,Eukaryotic,monomeric,78.72,"Zhou, M.",2022
SLC15A2,7NQK,,ELECTRON MICROSCOPY,3.5,2021-07-07T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,dimeric,96.97,"Newstead, S.",2021
SLC15A2,7PMY,,ELECTRON MICROSCOPY,3.8,2021-10-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,82.1,"Loew, C.",2021
SLC15A2,9BIR,,ELECTRON MICROSCOPY,3.1,2024-07-24T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,dimeric,97.34,"Newstead, S.",2024
SLC15A2,9BIS,,ELECTRON MICROSCOPY,3.2,2024-07-24T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,dimeric,97.34,"Newstead, S.",2024
SLC15A2,9BIT,,ELECTRON MICROSCOPY,3.1,2024-07-24T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,dimeric,97.41,"Newstead, S.",2024
SLC15A2,9BIU,,ELECTRON MICROSCOPY,2.9,2024-07-24T00:00:00.000+00:00,Rattus norvegicus,Eukaryota,Eukaryotic,dimeric,97.41,"Newstead, S.",2024
SLC15A4,8CNI,,ELECTRON MICROSCOPY,3.35,2023-09-27T00:00:00.000+00:00,Gallus gallus,Eukaryota,Eukaryotic,trimeric,90.57,"Loew, C.",2023
SLC15A4,8JZR,,ELECTRON MICROSCOPY,3.25,2023-09-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,62.5,"Xie, M.",2023
SLC15A4,8JZS,,ELECTRON MICROSCOPY,2.95,2023-09-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,134.46,"Xie, M.",2023
SLC15A4,8JZU,,ELECTRON MICROSCOPY,3.05,2023-09-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,95.74,"Xie, M.",2023
SLC15A4,8JZX,,ELECTRON MICROSCOPY,2.5,2023-09-27T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,127.4,"Xie, M.",2023
SLC15A4,8WX3,,ELECTRON MICROSCOPY,2.83,2023-12-06T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,129.71,"Shimizu, T.",2025
SLC15A4,8WX4,,ELECTRON MICROSCOPY,3.12,2023-12-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,130.27,"Shimizu, T.",2025
SLC15A4,8WX5,,ELECTRON MICROSCOPY,3.91,2023-12-13T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,66.63,"Shimizu, T.",2025
SLC15A4,9IRB,,ELECTRON MICROSCOPY,3.15,2025-08-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,trimeric,90.64,"Gao, P.",2025
SLC15A4,9IRC,,ELECTRON MICROSCOPY,2.82,2025-08-20T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,tetrameric,109.19,"Gao, P.",2025
SLC16A1,6LYY,,ELECTRON MICROSCOPY,3.2,2020-12-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,83.76,"Yan, C.",2021
SLC16A1,6LZ0,,ELECTRON MICROSCOPY,3.3,2020-12-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,83.34,"Yan, C.",2021
SLC16A1,7CKO,,ELECTRON MICROSCOPY,2.95,2020-12-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,83.56,"Yan, C.",2021
SLC16A1,7CKR,,ELECTRON MICROSCOPY,3.0,2020-12-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,83.66,"Yan, C.",2021
SLC16A1,7DA5,,ELECTRON MICROSCOPY,3.3,2020-12-23T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,83.25,"Yan, C.",2021
SLC16A1,7YR5,,ELECTRON MICROSCOPY,3.63,2022-09-28T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,92.02,"Ye, S.",2022
SLC16A7,7BP3,,ELECTRON MICROSCOPY,3.8,2020-06-03T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,107.84,"Ye, S.",2020
SLC16A7,9L0B,,ELECTRON MICROSCOPY,3.7,2025-12-24T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,89.17,"Wang, Y.",2026
SLC16A7,9L0C,,ELECTRON MICROSCOPY,3.2,2025-12-24T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,dimeric,89.63,"Wang, Y.",2026
SLC17A5,8DWI,,ELECTRON MICROSCOPY,3.4,2023-01-25T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,54.68,"Zheng, H.",2023
SLC17A5,8U3D,,ELECTRON MICROSCOPY,2.83,2024-05-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,55.68,"Li, X.",2024
SLC17A5,8U3E,,ELECTRON MICROSCOPY,3.19,2024-05-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,55.68,"Li, X.",2024
SLC17A5,8U3F,,ELECTRON MICROSCOPY,3.31,2024-05-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,55.65,"Li, X.",2024
SLC17A5,8U3G,,ELECTRON MICROSCOPY,3.42,2024-05-29T00:00:00.000+00:00,Homo sapiens,Eukaryota,Eukaryotic,monomeric,56.01,"Li, X.",2024
